Date,Price,Note
2008-05-20,1500000 gp,
2008-05-21,1500000 gp,
2008-05-22,1500000 gp,
2008-05-23,1500000 gp,
2008-05-24,1500000 gp,
2008-05-25,1500000 gp,
2008-05-26,1500000 gp,
2008-05-27,1500000 gp,
2008-05-28,1500000 gp,
2008-05-29,1500000 gp,
2008-05-30,1500000 gp,
2008-05-31,1500000 gp,
2008-06-01,1500000 gp,
2008-06-02,1500000 gp,
2008-06-03,1500000 gp,
2008-06-04,1500000 gp,
2008-06-05,1500000 gp,
2008-06-06,1500000 gp,
2008-06-07,1500000 gp,
2008-06-08,1600000 gp,
2008-06-09,1600000 gp,
2008-06-10,1500000 gp,
2008-06-11,1500000 gp,
2008-06-12,1500000 gp,
2008-06-13,1500000 gp,
2008-06-14,1500000 gp,
2008-06-15,1500000 gp,
2008-06-16,1500000 gp,
2008-06-17,1500000 gp,
2008-06-18,1500000 gp,
2008-06-19,1600000 gp,
2008-06-20,1600000 gp,
2008-06-21,1600000 gp,
2008-06-22,1600000 gp,
2008-06-23,1600000 gp,
2008-06-24,1600000 gp,
2008-06-25,1600000 gp,
2008-06-26,1600000 gp,
2008-06-27,1600000 gp,
2008-06-28,1600000 gp,
2008-06-29,1600000 gp,
2008-06-30,1600000 gp,
2008-07-01,1600000 gp,
2008-07-02,1600000 gp,
2008-07-03,1600000 gp,
2008-07-04,1600000 gp,
2008-07-05,1600000 gp,
2008-07-06,1600000 gp,
2008-07-07,1600000 gp,
2008-07-08,1600000 gp,
2008-07-09,1600000 gp,
2008-07-10,1600000 gp,
2008-07-11,1600000 gp,
2008-07-12,1600000 gp,
2008-07-13,1600000 gp,
2008-07-14,1600000 gp,
2008-07-15,1600000 gp,
2008-07-16,1600000 gp,
2008-07-17,1600000 gp,
2008-07-18,1600000 gp,
2008-07-19,1600000 gp,
2008-07-20,1600000 gp,
2008-07-21,1600000 gp,
2008-07-22,1600000 gp,
2008-07-23,1500000 gp,
2008-07-24,1500000 gp,
2008-07-25,1500000 gp,
2008-07-26,1500000 gp,
2008-07-27,1500000 gp,
2008-07-28,1500000 gp,
2008-07-29,1500000 gp,
2008-07-30,1500000 gp,
2008-07-31,1500000 gp,
2008-08-01,1500000 gp,
2008-08-02,1500000 gp,
2008-08-03,1500000 gp,
2008-08-04,1500000 gp,
2008-08-05,1500000 gp,
2008-08-06,1500000 gp,
2008-08-07,1500000 gp,
2008-08-08,1500000 gp,
2008-08-09,1500000 gp,
2008-08-10,1500000 gp,
2008-08-11,1500000 gp,
2008-08-12,1500000 gp,
2008-08-13,1500000 gp,
2008-08-14,1500000 gp,
2008-08-15,1400000 gp,
2008-08-16,1400000 gp,
2008-08-17,1400000 gp,
2008-08-18,1400000 gp,
2008-08-19,1400000 gp,
2008-08-20,1400000 gp,
2008-08-21,1400000 gp,
2008-08-22,1400000 gp,
2008-08-23,1400000 gp,
2008-08-24,1400000 gp,
2008-08-25,1400000 gp,
2008-08-26,1400000 gp,
2008-08-27,1400000 gp,
2008-08-28,1400000 gp,
2008-08-29,1300000 gp,
2008-08-30,1300000 gp,
2008-08-31,1200000 gp,
2008-09-01,1200000 gp,
2008-09-02,1100000 gp,
2008-09-03,1100000 gp,
2008-09-04,1200000 gp,
2008-09-05,1200000 gp,
2008-09-06,1300000 gp,
2008-09-07,1300000 gp,
2008-09-08,1300000 gp,
2008-09-09,1300000 gp,
2008-09-10,1300000 gp,
2008-09-11,1300000 gp,
2008-09-12,1200000 gp,
2008-09-13,1200000 gp,
2008-09-14,1200000 gp,
2008-09-15,1200000 gp,
2008-09-16,1200000 gp,
2008-09-17,1200000 gp,
2008-09-18,1300000 gp,
2008-09-19,1300000 gp,
2008-09-20,1300000 gp,
2008-09-21,1300000 gp,
2008-09-22,1200000 gp,
2008-09-23,1200000 gp,
2008-09-24,1200000 gp,
2008-09-25,1200000 gp,
2008-09-26,1200000 gp,
2008-09-27,1200000 gp,
2008-09-28,1200000 gp,
2008-09-29,1200000 gp,
2008-09-30,1100000 gp,
2008-10-01,1100000 gp,
2008-10-02,1100000 gp,
2008-10-03,1100000 gp,
2008-10-04,1100000 gp,
2008-10-05,1200000 gp,
2008-10-06,1200000 gp,
2008-10-07,1100000 gp,
2008-10-08,1100000 gp,
2008-10-09,1100000 gp,
2008-10-10,1100000 gp,
2008-10-11,1100000 gp,
2008-10-12,1100000 gp,
2008-10-13,1100000 gp,
2008-10-14,1200000 gp,
2008-10-15,1200000 gp,
2008-10-16,1300000 gp,
2008-10-17,1300000 gp,
2008-10-18,1500000 gp,
2008-10-19,1500000 gp,
2008-10-20,1500000 gp,
2008-10-21,1500000 gp,
2008-10-22,1400000 gp,
2008-10-23,1400000 gp,
2008-10-24,1300000 gp,
2008-10-25,1300000 gp,
2008-10-26,1300000 gp,
2008-10-27,1300000 gp,
2008-10-28,1400000 gp,
2008-10-29,1400000 gp,
2008-10-30,1400000 gp,
2008-10-31,1500000 gp,
2008-11-01,1500000 gp,
2008-11-02,1400000 gp,
2008-11-03,1400000 gp,
2008-11-04,1400000 gp,
2008-11-05,1400000 gp,
2008-11-06,1400000 gp,
2008-11-07,1400000 gp,
2008-11-08,1400000 gp,
2008-11-09,1400000 gp,
2008-11-10,1400000 gp,
2008-11-11,1400000 gp,
2008-11-12,1400000 gp,
2008-11-13,1400000 gp,
2008-11-14,1400000 gp,
2008-11-15,1400000 gp,
2008-11-16,1400000 gp,
2008-11-17,1400000 gp,
2008-11-18,1400000 gp,
2008-11-19,1400000 gp,
2008-11-20,1400000 gp,
2008-11-21,1400000 gp,
2008-11-22,1400000 gp,
2008-11-23,1400000 gp,
2008-11-24,1400000 gp,
2008-11-25,1400000 gp,
2008-11-26,1400000 gp,
2008-11-27,1400000 gp,
2008-11-28,1400000 gp,
2008-11-29,1400000 gp,
2008-11-30,1400000 gp,
2008-12-01,1400000 gp,
2008-12-02,1400000 gp,
2008-12-03,1400000 gp,
2008-12-04,1400000 gp,
2008-12-05,1400000 gp,
2008-12-06,1400000 gp,
2008-12-07,1400000 gp,
2008-12-08,1400000 gp,
2008-12-09,1400000 gp,
2008-12-10,1400000 gp,
2008-12-11,1400000 gp,
2008-12-12,1400000 gp,
2008-12-13,1400000 gp,
2008-12-14,1400000 gp,
2008-12-15,1400000 gp,
2008-12-16,1400000 gp,
2008-12-17,1400000 gp,
2008-12-18,1400000 gp,
2008-12-19,1400000 gp,
2008-12-20,1400000 gp,
2008-12-21,1500000 gp,
2008-12-22,1500000 gp,
2008-12-23,1500000 gp,
2008-12-24,1500000 gp,
2008-12-25,1600000 gp,
2008-12-26,1600000 gp,
2008-12-27,1500000 gp,
2008-12-28,1500000 gp,
2008-12-29,1500000 gp,
2008-12-30,1500000 gp,
2008-12-31,1500000 gp,
2009-01-01,1500000 gp,
2009-01-02,1600000 gp,
2009-01-03,1500000 gp,
2009-01-04,1500000 gp,
2009-01-05,1500000 gp,
2009-01-06,1500000 gp,
2009-01-07,1500000 gp,
2009-01-08,1500000 gp,
2009-01-09,1500000 gp,
