Date,Price,Note
2008-05-20,218500000 gp,
2008-05-21,218500000 gp,
2008-05-22,218500000 gp,
2008-05-23,218500000 gp,
2008-05-24,218500000 gp,
2008-05-25,218500000 gp,
2008-05-26,218500000 gp,
2008-05-27,218500000 gp,
2008-05-28,218500000 gp,
2008-05-29,218500000 gp,
2008-05-30,218500000 gp,
2008-05-31,218500000 gp,
2008-06-01,218500000 gp,
2008-06-02,218500000 gp,
2008-06-03,218500000 gp,
2008-06-04,207600000 gp,
2008-06-05,207600000 gp,
2008-06-06,207600000 gp,
2008-06-07,207600000 gp,
2008-06-08,207600000 gp,
2008-06-09,207600000 gp,
2008-06-10,207600000 gp,
2008-06-11,207600000 gp,
2008-06-12,207600000 gp,
2008-06-13,207600000 gp,
2008-06-14,207600000 gp,
2008-06-15,207600000 gp,
2008-06-16,207600000 gp,
2008-06-17,207600000 gp,
2008-06-18,207600000 gp,
2008-06-19,207600000 gp,
2008-06-20,207600000 gp,
2008-06-21,207600000 gp,
2008-06-22,207600000 gp,
2008-06-23,207600000 gp,
2008-06-24,207600000 gp,
2008-06-25,207600000 gp,
2008-06-26,207600000 gp,
2008-06-27,207600000 gp,
2008-06-28,207600000 gp,
2008-06-29,207600000 gp,
2008-06-30,207600000 gp,
2008-07-01,207600000 gp,
2008-07-02,207600000 gp,
2008-07-03,207600000 gp,
2008-07-04,207600000 gp,
2008-07-05,207600000 gp,
2008-07-06,207600000 gp,
2008-07-07,207600000 gp,
2008-07-08,207600000 gp,
2008-07-09,207600000 gp,
2008-07-10,207600000 gp,
2008-07-11,207600000 gp,
2008-07-12,207600000 gp,
2008-07-13,207600000 gp,
2008-07-14,207600000 gp,
2008-07-15,207600000 gp,
2008-07-16,207600000 gp,
2008-07-17,207600000 gp,
2008-07-18,207600000 gp,
2008-07-19,207600000 gp,
2008-07-20,207600000 gp,
2008-07-21,207600000 gp,
2008-07-22,207600000 gp,
2008-07-23,207600000 gp,
2008-07-24,207600000 gp,
2008-07-25,207600000 gp,
2008-07-26,207600000 gp,
