Date,Price,Note
2008-05-20,163100 gp,
2008-05-21,159700 gp,
2008-05-22,159700 gp,
2008-05-23,165800 gp,
2008-05-24,165800 gp,
2008-05-25,177600 gp,
2008-05-26,177600 gp,
2008-05-27,182200 gp,
2008-05-28,182200 gp,
2008-05-29,196900 gp,
2008-05-30,196900 gp,
2008-05-31,204900 gp,
2008-06-01,212700 gp,
2008-06-02,218700 gp,
2008-06-03,221400 gp,
2008-06-04,221900 gp,
2008-06-05,220500 gp,
2008-06-06,217600 gp,
2008-06-07,216500 gp,
2008-06-08,214400 gp,
2008-06-09,214400 gp,
2008-06-10,211800 gp,
2008-06-11,209800 gp,
2008-06-12,208200 gp,
2008-06-13,208600 gp,
2008-06-14,206100 gp,
2008-06-15,206100 gp,
2008-06-16,210200 gp,
2008-06-17,214000 gp,
2008-06-18,201100 gp,
2008-06-19,194900 gp,
2008-06-20,194900 gp,
2008-06-21,196800 gp,
2008-06-22,206600 gp,
2008-06-23,206600 gp,
2008-06-24,207400 gp,
2008-06-25,206200 gp,
2008-06-26,205800 gp,
2008-06-27,205000 gp,
2008-06-28,203700 gp,
2008-06-29,202200 gp,
2008-06-30,205000 gp,
2008-07-01,206000 gp,
2008-07-02,206000 gp,
2008-07-03,202700 gp,
2008-07-04,198000 gp,
2008-07-05,199800 gp,
2008-07-06,201200 gp,
2008-07-07,201000 gp,
2008-07-08,199400 gp,
2008-07-09,199400 gp,
2008-07-10,201800 gp,
2008-07-11,204500 gp,
2008-07-12,205500 gp,
2008-07-13,203300 gp,
2008-07-14,203300 gp,
2008-07-15,199000 gp,
2008-07-16,192800 gp,
2008-07-17,189400 gp,
2008-07-18,186900 gp,
2008-07-19,191600 gp,
2008-07-20,196400 gp,
2008-07-21,196500 gp,
2008-07-22,195600 gp,
2008-07-23,195000 gp,
2008-07-24,187500 gp,
2008-07-25,187500 gp,
2008-07-26,182400 gp,
2008-07-27,187350 gp,
2008-07-28,192300 gp,
2008-07-29,201000 gp,
2008-07-30,220500 gp,
2008-07-31,220500 gp,
2008-08-01,231000 gp,
2008-08-02,242000 gp,
2008-08-03,264800 gp,
2008-08-04,277300 gp,
2008-08-05,277300 gp,
2008-08-06,288300 gp,
2008-08-07,300400 gp,
2008-08-08,312600 gp,
2008-08-09,310700 gp,
2008-08-10,301800 gp,
2008-08-11,292000 gp,
2008-08-12,277500 gp,
2008-08-13,263700 gp,
2008-08-14,251200 gp,
2008-08-15,241400 gp,
2008-08-16,229600 gp,
2008-08-17,207600 gp,
2008-08-18,197400 gp,
2008-08-19,192400 gp,
2008-08-20,192400 gp,
2008-08-21,199800 gp,
2008-08-22,219000 gp,
2008-08-23,219000 gp,
2008-08-24,215100 gp,
2008-08-25,204400 gp,
2008-08-26,195600 gp,
2008-08-27,187400 gp,
2008-08-28,182600 gp,
2008-08-29,191500 gp,
2008-08-30,199600 gp,
2008-08-31,199600 gp,
2008-09-01,207300 gp,
2008-09-02,217100 gp,
2008-09-03,211400 gp,
2008-09-04,201000 gp,
2008-09-05,201000 gp,
2008-09-06,183500 gp,
